"name","ra","dec","alt","az"
"AR And","26.26250000","37.94250000","3.9867950089560718","30.760094143552823"
"DX And","352.44166667","43.75111111","82.57568772991777","227.8809690634887"
"EG And","11.15416667","40.67916667","31.232941109115416","297.668556258313"
"FN And","17.98750000","35.29000000","72.15241812366318","134.39635431002114"
"FO And","18.88333333","37.62638889","66.23606897265827","107.66194514973708"
"LS And","8.04166667","41.96972222","9.681293660898751","326.90880680050077"
"PQ And","37.37083333","40.04416667","51.53499498896926","277.38423834396656"
"RX And","16.14583333","41.29916667","78.55012584976535","232.26820678743684"
"Z And","353.41250000","48.81805556","85.43818102250059","89.66651115151248"
"DH Aql","291.54166667","-9.74222222","-46.957986480985724","31.360459699009258"
"FO Aql","289.15833333","0.12694444","-20.906429217066115","63.7016082944596"
"KX Aql","293.47083333","14.29638889","-26.32576824167841","351.5488567740903"
"UU Aql","299.32500000","-8.67750000","-2.8829055083362944","260.0767735424237"
"V0603 Aql","282.22500000","0.58388889","38.86642699696336","155.11689911604358"
"V0725 Aql","299.18750000","10.82555556","10.474067358499548","274.5003835558748"
"V1413 Aql","285.94166667","16.43805556","22.194468779836942","90.19940030431542"
"VY Aqr","318.03750000","-7.17333333","-45.968832251776846","336.3624935734696"
"VZ Aqr","322.60000000","-1.01194444","-4.2063533716699","273.30285201154277"
"SV Ari","51.26250000","19.83111111","-17.569682248134654","24.953249335202674"
"TT Ari","31.72083333","15.29472222","-15.92728573316906","318.2802504819002"
"SS Aur","93.34166667","47.74027778","47.63710414503731","65.62349851161825"
"TT Boo","224.43333333","40.72777778","10.838701459247217","322.4044754584175"
"UZ Boo","221.00416667","22.01500000","-18.98129369689814","359.20333359652307"
"AF Cam","53.06250000","58.78944444","17.798317445726273","359.08164764977266"
"Z Cam","126.30416667","73.11083333","32.916184597788835","353.09991335344444"
"AM Cas","36.59583333","71.30861111","53.39056212771073","330.7735165833825"
"GX Cas","12.25416667","56.87861111","48.77372213124504","308.6244358455807"
"HT Cas","17.55000000","60.07666667","77.77989318354658","21.633955933548812"
"KU Cas","22.75833333","57.90333333","41.05919263076016","44.731957541841574"
"V0630 Cas","357.21250000","51.46083333","50.345625498675304","61.288823365547984"
"WW Cet","2.85000000","-10.52138889","-43.455403211052214","45.04650053468746"
"AL Com","188.10416667","14.34527778","38.16499571762804","115.07334180545419"
"T CrB","239.87500000","25.92000000","10.85911820393812","62.75808787326391"
"TX CVn","191.17500000","36.76388889","24.882956404393084","61.83047132440353"
"BF Cyg","290.97083333","29.67472222","-6.982061435358597","25.691680840232028"
"CH Cyg","291.13750000","50.24138889","11.943753300484273","17.378339724048175"
"EM Cyg","294.66666667","30.50777778","-7.2369405201935955","337.8329757480258"
"EY Cyg","298.65000000","32.36527778","21.132800986579976","295.47646909230644"
"Q Cyg","325.42916667","42.84138889","53.50791100790397","280.8180712531925"
"SS Cyg","325.67500000","43.58583333","56.233691898546056","279.7962053859858"
"V0404 Cyg","306.01250000","33.86722222","70.8013498773374","136.10494007441426"
"V0476 Cyg","299.60000000","53.61833333","42.33832917650353","307.73340175753265"
"V0503 Cyg","306.82083333","43.68944444","70.04069210005002","94.77163446870688"
"V0516 Cyg","311.78750000","41.92388889","23.45836801563433","52.34000766527216"
"V0542 Cyg","297.29166667","58.53305556","29.978054729459288","326.8576332436851"
"V0630 Cyg","323.74583333","40.67166667","36.49745122210636","292.61842385899297"
"V0632 Cyg","324.01666667","40.43861111","38.841167959874134","290.06391728445453"
"V0751 Cyg","313.05000000","44.32388889","16.385148067626325","39.47942560638076"
"V0795 Cyg","293.64166667","31.53638889","-8.932962900968072","351.0612678451618"
"V0811 Cyg","297.09583333","36.43972222","11.655442868844313","313.4037837389408"
"V1016 Cyg","299.27083333","39.82666667","31.711182752312258","295.8974621807765"
"V1028 Cyg","300.23333333","56.94333333","48.63625131002851","308.8062550276431"
"V1251 Cyg","325.22500000","48.66194444","54.0717692198107","291.2778838394258"
"V1454 Cyg","298.40833333","35.36250000","21.172132289799347","300.0303826695583"
"V1500 Cyg","317.90000000","48.15055556","7.928952007967732","350.4554888887044"
"V1668 Cyg","325.64583333","44.03166667","56.15059381582094","280.766624852637"
"V1819 Cyg","298.65416667","35.70444444","23.53025528563057","297.9901237298194"
"HR Del","310.58333333","19.16083333","17.884997069517773","81.11394191188138"
"AB Dra","297.27500000","77.73972222","42.714397083612205","344.8307787676068"
"AG Dra","240.42083333","66.80277778","36.62871411276761","27.057548796445463"
"DO Dra","175.90833333","71.68888889","34.69208360602119","344.5006658781979"
"AH Her","251.04166667","25.25055556","19.644413890609314","286.24601348418463"
"AM Her","274.05416667","49.86777778","28.60401522117194","314.4337760773607"
"CH Her","278.69166667","24.80027778","54.19675146829145","239.87276063221867"
"DQ Her","271.87500000","45.85888889","12.253884342211755","330.40013608273705"
"V0443 Her","275.52916667","23.45555556","23.036040495059154","279.7951012813509"
"V0446 Her","284.33750000","13.24138889","35.196685933789404","112.59095991752554"
"V0533 Her","273.58333333","41.85611111","19.418271720228788","312.2912512874846"
"YY Her","273.64166667","20.98888889","3.7040214231991118","298.2056899874015"
"CP Lac","333.92083333","55.61694444","46.17569779886343","51.824463732807416"
"AY Lyr","281.10833333","37.99750000","78.86495410818523","170.26437265169113"
"CY Lyr","283.17083333","26.75861111","56.03122631952258","118.6368924575668"
"DM Lyr","284.68333333","30.25916667","44.20172839514906","92.71294403586167"
"LL Lyr","278.80000000","38.33444444","64.59981624720339","257.375660393142"
"MV Lyr","286.81666667","44.01888889","32.74549344258693","58.700415031550904"
"V0344 Lyr","281.16250000","43.37416667","83.95826125956245","157.4174013281738"
"RS Oph","267.55416667","-5.29222222","-42.823278643995266","29.02135096647751"
"V0426 Oph","271.96250000","5.86305556","-22.51151972927525","310.1893883031029"
"AG Peg","327.75416667","12.62555556","50.7181487205811","208.3378765118689"
"EF Peg","318.76666667","14.06361111","-22.48066279857632","331.27025714238175"
"IP Peg","350.78333333","18.41638889","49.765364130280574","232.11388916327462"
"RU Peg","333.50833333","12.70305556","23.691868203470943","97.97563859583988"
"AX Per","24.09166667","54.25055556","29.97629514924591","40.1327196136708"
"FO Per","62.14166667","51.24666667","63.27155378978388","291.00762683612516"
"GK Per","52.80000000","43.90416667","2.925072049986956","1.6229702964358732"
"KT Per","24.28333333","50.95555556","26.41084432933205","41.36968902799793"
"TZ Per","33.45833333","58.38111111","30.780218118165745","325.64748841507657"
"UV Per","32.53333333","57.18916667","25.093592347489754","331.14927409458886"
"UW Per","33.12083333","57.08861111","27.991232960000467","326.8996257550192"
"TY Psc","21.41250000","32.38555556","38.40821635599077","82.54039658705457"
"U Sco","245.62500000","-16.12166667","-56.09973675585198","342.3743379677793"
"LX Ser","234.50000000","18.86750000","54.533143543012216","139.92655526961875"
"MU Ser","268.96666667","-13.97861111","-54.97800558746629","359.57710856683195"
"UZ Ser","272.85000000","-13.07388889","-30.30642685127696","285.84390805440063"
"AW Sge","299.65416667","16.69111111","19.387573988805787","273.3980483893529"
"HM Sge","295.48750000","16.74416667","-16.093647559832586","322.0871028459446"
"RZ Sge","300.82500000","17.04777778","31.126790761771172","260.0575573504483"
"WZ Sge","301.90000000","17.70388889","41.72970300821599","246.11437188106828"
"FN Sgr","283.47500000","-17.00555556","15.931766588983685","142.370709933785"
"BC UMa","178.06250000","49.24472222","28.234208862528156","313.85621940013175"
"BZ UMa","133.43333333","57.81111111","58.239210904980006","306.33314270911325"
"CH UMa","151.75000000","67.54638889","30.749345525648994","342.7001762923622"
"CI UMa","154.55416667","71.92888889","44.14129999084543","334.53645864329536"
"CY UMa","164.23333333","49.68833333","58.48974863891779","69.67314522093643"
"DI UMa","138.06666667","50.89833333","79.08072682324986","73.65063575890687"
"SU UMa","123.11666667","62.60611111","23.72391586808393","13.418542290866403"
"SW UMa","129.17500000","53.47694444","25.56393880409536","323.85910834834874"
"SS UMi","237.84166667","71.75305556","50.85324443369896","28.375108578846294"
"HV Vir","200.26250000","1.89111111","-23.53466812117573","303.77179721864763"
"LV Vul","297.00000000","27.17194444","3.408898690516669","308.96009967213365"
"NQ Vul","292.30833333","20.46638889","-20.005155518738977","9.596111298847257"
"PU Vul","305.30416667","21.57166667","62.247448585543566","169.34407154720853"
"PW Vul","291.52083333","27.36583333","-11.26886223407277","19.327274603866954"
"QU Vul","306.69166667","27.84527778","60.84955611584316","126.93576171566549"
"VW Vul","314.43750000","25.50694444","-8.255146269671995","33.886073612427786"
"BM And","354.40833333","48.40333333","75.6005837496054","84.07693229739294"
"FG Aql","285.59166667","-4.39472222","9.782679478037721","108.47359821271966"
"FH Aql","285.59583333","-4.39000000","9.747472222625886","108.42120507023252"
"V0536 Aql","294.73750000","10.50444444","-25.983897991605108","330.43655061530376"
"RW Aur","76.95416667","30.40138889","-10.598591424286049","359.945071610525"
"UY Aur","72.94583333","30.78694444","6.028619916320259","48.468345159384484"
"DG Aur","75.38750000","32.56722222","-5.798599643945216","19.68990494563009"
"GM Aur","73.79166667","30.36638889","-0.10339583822531567","39.40940487287024"
"GZ Aur","75.01250000","30.01888889","-6.832209385232709","25.06272458893566"
"HO Aur","76.94166667","31.33833333","-9.661589287319961","0.10821461314309759"
"PS Aur","77.76250000","32.30166667","-7.974584547911094","349.6194573473805"
"V0347 Aur","74.23750000","51.51416667","16.329978609208087","25.009336805841937"
"V0372 Aur","88.67500000","41.87000000","82.30786098046615","203.58942795898366"
"VX Cas","7.87500000","61.98055556","26.364730700439164","338.69140032284673"
"MQ Cas","2.40416667","58.21944444","21.71419975874483","20.516296948145776"
"NX Cas","9.74583333","59.46333333","33.139719539602964","324.76809815091036"
"V0519 Cas","44.19583333","63.45472222","60.30869859699468","42.663670183042"
"V0545 Cas","5.06666667","59.38694444","18.3963540452046","359.0608906739334"
"V0594 Cas","10.82500000","61.91111111","40.973670797580965","321.4434117395576"
"V0628 Cas","349.35416667","60.84527778","57.912632467788775","312.1532005471281"
"V0642 Cas","3.76666667","63.84388889","23.702563627886338","8.439784193258921"
"NSV 87","3.23333333","63.77500000","24.576116172581777","12.187025934138338"
"NSV 93","3.46250000","63.75750000","24.11387182482936","10.598357036455356"
"SV Cep","335.38750000","73.67416667","44.68445282007329","23.127132497212436"
"YZ Cep","334.50416667","57.28805556","42.555090234721185","46.772808303673166"
"BG Cep","330.12500000","68.47277778","68.66975747936003","17.785322963161796"
"BH Cep","330.42500000","69.74333333","66.7005719795726","19.24916898996162"
"BO Cep","334.22500000","70.06250000","48.73637616909628","30.513824274928073"
"BS Cep","337.27083333","65.24472222","31.905443970654257","23.89002350382333"
"DI Cep","344.04583333","58.66694444","24.175597174404828","335.6041140902903"
"DZ Cep","326.23750000","58.58000000","64.60638736360967","307.57900988235804"
"EH Cep","315.85000000","67.98500000","27.63803876373795","6.902190206368729"
"GM Cep","324.57083333","57.52277778","51.41793666544388","308.310603100628"
"LO Cep","319.92916667","61.70722222","26.32576974124147","338.1677782615348"
"V0373 Cep","325.77500000","66.11500000","60.35566895797371","322.7887469210901"
"V0488 Cep","323.82916667","57.61055556","45.84620574076501","311.5208421357895"
"V0730 Cep","343.51250000","58.90027778","22.38324526549736","339.6795247091198"
"V0517 Cyg","311.84583333","43.74416667","24.31131582333958","50.44648347367773"
"V0561 Cyg","306.49166667","52.14472222","75.0485537797268","69.09207856846898"
"V1057 Cyg","314.72083333","44.25777778","7.735373431638851","23.470239182789797"
"V1331 Cyg","315.28750000","50.36222222","11.636070517251703","15.938986352806324"
"V1393 Cyg","308.41250000","41.32388889","53.33117782074626","81.9357609975515"
"V1514 Cyg","301.75416667","58.27805556","60.81651901316439","306.81646313133746"
"V1515 Cyg","305.95000000","42.20694444","77.5331349649768","117.36689249042509"
"V1910 Cyg","323.12916667","38.96500000","29.90178436309526","296.3703600441323"
"V1938 Cyg","323.15416667","39.66805556","30.58002244119208","296.76873949883753"
"V1977 Cyg","311.90416667","43.79027778","23.903435148527805","49.91535141443309"
"V1982 Cyg","315.97500000","50.25250000","10.04241891640154","9.436557010657289"
"NSV 25614","322.20833333","39.19805556","22.26427642030969","304.74853395592515"
"CF Dra","286.69583333","53.38250000","39.18122727834565","50.15544547162311"
"KW Her","280.35416667","12.15638889","52.41866517719968","194.4192946747712"
"V1117 Her","249.77500000","9.79861111","-3.8592520197716036","289.73059087118656"
"BH Lac","338.71666667","51.50750000","14.489037613666007","20.78217736107386"
"FY Lac","338.14583333","45.52944444","11.382416229455242","28.6029549289149"
"V0375 Lac","338.67083333","40.66750000","4.599146968733499","25.314165930445018"
"OQ Lyr","284.21250000","31.20083333","49.42783862264937","97.4366716992148"
"V0497 Lyr","286.95416667","36.38583333","26.559803427245647","64.16081321855143"
"V1121 Oph","252.31250000","-13.63111111","2.566124758503037","245.7236908932249"
"XY Per","57.40000000","38.98194444","15.87009117514946","312.05353343899844"
"CF Per","30.84583333","57.72222222","19.269183264817862","344.3717270356901"
"DN Per","36.58333333","52.74111111","49.94187176375698","301.12705592311823"
"EO Per","42.65833333","57.33611111","72.67063668931755","51.59379007285962"
"IP Per","55.19166667","32.53138889","-3.1367117481113382","332.1232720454104"
"IS Per","23.04166667","54.27638889","37.121928222867126","47.05909826582824"
"V0369 Per","42.82083333","38.24444444","67.19895333315141","107.56218422427672"
"RZ Psc","17.42500000","27.95027778","68.24755676883815","162.8033355680637"
"CN Sge","303.44166667","17.27444444","53.35661181104333","217.98748722388257"
"DW Sge","298.97500000","19.54333333","14.863242365685208","282.84090370697095"
"V1098 Sco","243.52916667","-18.35861111","-54.864313705302656","36.825816375577794"
"XX Sct","279.90000000","-5.28194444","34.00535664903202","199.02887551346151"
"GSC 05107-00266","276.85833333","-3.42027778","15.587925936294074","245.4595107347267"
"VV Ser","277.19583333","0.14416667","21.456232213217685","243.38414663439605"
"DD Ser","280.30416667","-0.03194444","40.26194418299002","192.73913734830433"
"DM Ser","277.18750000","5.23555556","25.471064304717522","246.80129847127347"
"T Tau","65.49583333","19.53500000","59.809034765127684","164.52043895087468"
"RY Tau","65.48750000","28.44305556","68.53191672085019","160.30768290358904"
"VY Tau","69.82083333","22.79805556","27.945666302744886","86.65642523817475"
"ZZ Tau","67.71250000","24.70611111","49.66323816139741","111.74381145466128"
"AA Tau","68.72916667","24.48138889","39.841542926833114","97.88667694530683"
"BM Tau","58.62916667","28.57166667","18.216543067383483","292.88351045826477"
"BP Tau","64.81250000","29.10722222","70.04479239671355","185.2862267190955"
"BS Tau","74.71250000","28.52333333","-6.888772150681521","29.29288700749371"
"CW Tau","63.56666667","28.18250000","63.793386171877195","225.00414707176967"
"DF Tau","66.75833333","25.70611111","58.5913486650713","127.97346407094099"
"DG Tau","66.76666667","26.10444444","58.851666933134524","127.35368159028536"
"DN Tau","68.86250000","24.24944444","38.377455090254095","96.4576095768067"
"DS Tau","71.95000000","29.42000000","12.874414491391486","59.661753678944585"
"FX Tau","67.62083333","24.44555556","50.30164972703825","113.4643691309642"
"GK Tau","68.39166667","24.35138889","43.0189687490436","102.34633494358728"
"GU Tau","66.66250000","26.17000000","59.708334361529225","129.5320651679743"
"V0586 Tau","67.47916667","24.75916667","51.80714467176675","115.45476420884643"
"V0587 Tau","67.56666667","24.65805556","50.94904748863559","114.11853052021893"
"WW Vul","291.49166667","21.20861111","-17.131114360432687","21.31359376185288"
"CT Vul","296.88333333","20.90472222","-2.6572330972251357","306.7161585084133"
"IZ Vul","296.81666667","27.33194444","2.1591693515718196","311.0698466168126"
"WASP-76","26.62916667","2.70055556","-30.16448281309846","41.267261405984485"
"HAT-P-12","209.38750000","43.49333333","82.86971908570875","138.09013599447334"
"HAT-P-32","31.04166667","46.68777778","9.49220905157823","338.7706425692565"
"HAT-P-18","256.34583333","33.01250000","72.64110620842611","206.27587174873645"
"HAT-P-3","206.09166667","48.02861111","61.96265927971998","284.5247776336189"
"HAT-P-38","35.37916667","32.24611111","27.703322682936676","288.3326490686198"
"HD 149026","247.62083333","38.34722222","4.269864443889849","329.59048293870984"
"HAT-P-26","213.15416667","4.06000000","20.480840318549188","108.32858156121229"
"WASP-80","303.16666667","-1.85583333","34.13183802577169","212.92052102058804"
"WASP-69","315.02500000","-4.90583333","-39.563436870225765","38.61603688246878"
"WASP-52","348.49166667","8.76111111","21.69143570061142","258.010746984399"
"WASP-39","217.32500000","-2.55555556","-24.54524322403989","63.21555105282043"
"WASP-67","295.74166667","-18.05055556","-44.29170084990706","297.54510658903706"
"HS 0624+6907","97.50833333","69.08416667","34.026692285356376","19.736360118821345"
"3C 273","187.27500000","2.05222222","34.396204545066794","136.1711269807116"
"PG 1351+640","208.31250000","63.76250000","74.35697432447888","344.1949722980815"
"SW And","5.92916667","29.40083333","-10.508798372316997","347.01702732808917"
"AC And","349.50833333","48.78277778","56.72767578233191","289.68232859791885"
"XX And","19.36250000","38.95055556","62.40351742342345","97.60071167075064"
"AT And","355.62500000","43.01416667","61.841438546001754","86.890679384914"
"FF Aql","284.55833333","17.36083333","36.30932179082692","106.31440297440508"
"TT Aql","287.05416667","1.29861111","-0.044776183869284614","87.96882233059584"
"U Aql","292.33750000","-6.95611111","-47.24621614722577","13.501273041153025"
"eta Aql","298.11666667","1.00555556","-7.39618277989421","280.15448925777184"
"SW Aqr","318.82083333","0.07611111","-35.304788415306504","324.79868641448996"
"BH Aur","78.01666667","33.96305556","-5.821535234835234","346.7147269614429"
"RS Boo","218.38750000","31.75444444","-2.2793771433512813","31.93943326109424"
"ST Boo","232.66250000","35.78444444","76.41197412581089","195.0486952061811"
"SW Boo","216.89166667","36.04555556","10.714185508703187","45.95940915868694"
"TV Boo","214.15000000","42.35972222","37.539008032376394","65.71671061562725"
"SZ Boo","220.55416667","28.20583333","-12.612004158069462","5.359963319979016"
"TW Boo","221.27083333","41.02888889","0.12886219819885042","356.3713113652557"
