Star Name,Radec,Decdec
AR And,26.26250000,37.94250000
DX And,352.44166667,43.75111111
EG And,11.15416667,40.67916667
FN And,17.98750000,35.29000000
FO And,18.88333333,37.62638889
LS And,8.04166667,41.96972222
PQ And,37.37083333,40.04416667
RX And,16.14583333,41.29916667
Z And,353.41250000,48.81805556
DH Aql,291.54166667,-9.74222222
FO Aql,289.15833333,0.12694444
KX Aql,293.47083333,14.29638889
UU Aql,299.32500000,-8.67750000
V0603 Aql,282.22500000,0.58388889
V0725 Aql,299.18750000,10.82555556
V1413 Aql,285.94166667,16.43805556
VY Aqr,318.03750000,-7.17333333
VZ Aqr,322.60000000,-1.01194444
SV Ari,51.26250000,19.83111111
TT Ari,31.72083333,15.29472222
SS Aur,93.34166667,47.74027778
TT Boo,224.43333333,40.72777778
UZ Boo,221.00416667,22.01500000
AF Cam,53.06250000,58.78944444
Z Cam,126.30416667,73.11083333
AM Cas,36.59583333,71.30861111
GX Cas,12.25416667,56.87861111
HT Cas,17.55000000,60.07666667
KU Cas,22.75833333,57.90333333
V0630 Cas,357.21250000,51.46083333
WW Cet,2.85000000,-10.52138889
AL Com,188.10416667,14.34527778
T CrB,239.87500000,25.92000000
TX CVn,191.17500000,36.76388889
BF Cyg,290.97083333,29.67472222
CH Cyg,291.13750000,50.24138889
EM Cyg,294.66666667,30.50777778
EY Cyg,298.65000000,32.36527778
Q Cyg,325.42916667,42.84138889
SS Cyg,325.67500000,43.58583333
V0404 Cyg,306.01250000,33.86722222
V0476 Cyg,299.60000000,53.61833333
V0503 Cyg,306.82083333,43.68944444
V0516 Cyg,311.78750000,41.92388889
V0542 Cyg,297.29166667,58.53305556
V0630 Cyg,323.74583333,40.67166667
V0632 Cyg,324.01666667,40.43861111
V0751 Cyg,313.05000000,44.32388889
V0795 Cyg,293.64166667,31.53638889
V0811 Cyg,297.09583333,36.43972222
V1016 Cyg,299.27083333,39.82666667
V1028 Cyg,300.23333333,56.94333333
V1251 Cyg,325.22500000,48.66194444
V1454 Cyg,298.40833333,35.36250000
V1500 Cyg,317.90000000,48.15055556
V1668 Cyg,325.64583333,44.03166667
V1819 Cyg,298.65416667,35.70444444
HR Del,310.58333333,19.16083333
AB Dra,297.27500000,77.73972222
AG Dra,240.42083333,66.80277778
DO Dra,175.90833333,71.68888889
AH Her,251.04166667,25.25055556
AM Her,274.05416667,49.86777778
CH Her,278.69166667,24.80027778
DQ Her,271.87500000,45.85888889
V0443 Her,275.52916667,23.45555556
V0446 Her,284.33750000,13.24138889
V0533 Her,273.58333333,41.85611111
YY Her,273.64166667,20.98888889
CP Lac,333.92083333,55.61694444
AY Lyr,281.10833333,37.99750000
CY Lyr,283.17083333,26.75861111
DM Lyr,284.68333333,30.25916667
LL Lyr,278.80000000,38.33444444
MV Lyr,286.81666667,44.01888889
V0344 Lyr,281.16250000,43.37416667
RS Oph,267.55416667,-5.29222222
V0426 Oph,271.96250000,5.86305556
AG Peg,327.75416667,12.62555556
EF Peg,318.76666667,14.06361111
IP Peg,350.78333333,18.41638889
RU Peg,333.50833333,12.70305556
AX Per,24.09166667,54.25055556
FO Per,62.14166667,51.24666667
GK Per,52.80000000,43.90416667
KT Per,24.28333333,50.95555556
TZ Per,33.45833333,58.38111111
UV Per,32.53333333,57.18916667
UW Per,33.12083333,57.08861111
TY Psc,21.41250000,32.38555556
U Sco,245.62500000,-16.12166667
LX Ser,234.50000000,18.86750000
MU Ser,268.96666667,-13.97861111
UZ Ser,272.85000000,-13.07388889
AW Sge,299.65416667,16.69111111
HM Sge,295.48750000,16.74416667
RZ Sge,300.82500000,17.04777778
WZ Sge,301.90000000,17.70388889
FN Sgr,283.47500000,-17.00555556
BC UMa,178.06250000,49.24472222
BZ UMa,133.43333333,57.81111111
CH UMa,151.75000000,67.54638889
CI UMa,154.55416667,71.92888889
CY UMa,164.23333333,49.68833333
DI UMa,138.06666667,50.89833333
SU UMa,123.11666667,62.60611111
SW UMa,129.17500000,53.47694444
SS UMi,237.84166667,71.75305556
HV Vir,200.26250000,1.89111111
LV Vul,297.00000000,27.17194444
NQ Vul,292.30833333,20.46638889
PU Vul,305.30416667,21.57166667
PW Vul,291.52083333,27.36583333
QU Vul,306.69166667,27.84527778
VW Vul,314.43750000,25.50694444
BM And,354.40833333,48.40333333
FG Aql,285.59166667,-4.39472222
FH Aql,285.59583333,-4.39000000
V0536 Aql,294.73750000,10.50444444
RW Aur,76.95416667,30.40138889
UY Aur,72.94583333,30.78694444
DG Aur,75.38750000,32.56722222
GM Aur,73.79166667,30.36638889
GZ Aur,75.01250000,30.01888889
HO Aur,76.94166667,31.33833333
PS Aur,77.76250000,32.30166667
V0347 Aur,74.23750000,51.51416667
V0372 Aur,88.67500000,41.87000000
VX Cas,7.87500000,61.98055556
MQ Cas,2.40416667,58.21944444
NX Cas,9.74583333,59.46333333
V0519 Cas,44.19583333,63.45472222
V0545 Cas,5.06666667,59.38694444
V0594 Cas,10.82500000,61.91111111
V0628 Cas,349.35416667,60.84527778
V0642 Cas,3.76666667,63.84388889
NSV 87,3.23333333,63.77500000
NSV 93,3.46250000,63.75750000
SV Cep,335.38750000,73.67416667
YZ Cep,334.50416667,57.28805556
BG Cep,330.12500000,68.47277778
BH Cep,330.42500000,69.74333333
BO Cep,334.22500000,70.06250000
BS Cep,337.27083333,65.24472222
DI Cep,344.04583333,58.66694444
DZ Cep,326.23750000,58.58000000
EH Cep,315.85000000,67.98500000
GM Cep,324.57083333,57.52277778
LO Cep,319.92916667,61.70722222
V0373 Cep,325.77500000,66.11500000
V0488 Cep,323.82916667,57.61055556
V0730 Cep,343.51250000,58.90027778
V0517 Cyg,311.84583333,43.74416667
V0561 Cyg,306.49166667,52.14472222
V1057 Cyg,314.72083333,44.25777778
V1331 Cyg,315.28750000,50.36222222
V1393 Cyg,308.41250000,41.32388889
V1514 Cyg,301.75416667,58.27805556
V1515 Cyg,305.95000000,42.20694444
V1910 Cyg,323.12916667,38.96500000
V1938 Cyg,323.15416667,39.66805556
V1977 Cyg,311.90416667,43.79027778
V1982 Cyg,315.97500000,50.25250000
NSV 25614,322.20833333,39.19805556
CF Dra,286.69583333,53.38250000
KW Her,280.35416667,12.15638889
V1117 Her,249.77500000,9.79861111
BH Lac,338.71666667,51.50750000
FY Lac,338.14583333,45.52944444
V0375 Lac,338.67083333,40.66750000
OQ Lyr,284.21250000,31.20083333
V0497 Lyr,286.95416667,36.38583333
V1121 Oph,252.31250000,-13.63111111
XY Per,57.40000000,38.98194444
CF Per,30.84583333,57.72222222
DN Per,36.58333333,52.74111111
EO Per,42.65833333,57.33611111
IP Per,55.19166667,32.53138889
IS Per,23.04166667,54.27638889
V0369 Per,42.82083333,38.24444444
RZ Psc,17.42500000,27.95027778
CN Sge,303.44166667,17.27444444
DW Sge,298.97500000,19.54333333
V1098 Sco,243.52916667,-18.35861111
XX Sct,279.90000000,-5.28194444
GSC 05107-00266,276.85833333,-3.42027778
VV Ser,277.19583333,0.14416667
DD Ser,280.30416667,-0.03194444
DM Ser,277.18750000,5.23555556
T Tau,65.49583333,19.53500000
RY Tau,65.48750000,28.44305556
VY Tau,69.82083333,22.79805556
ZZ Tau,67.71250000,24.70611111
AA Tau,68.72916667,24.48138889
BM Tau,58.62916667,28.57166667
BP Tau,64.81250000,29.10722222
BS Tau,74.71250000,28.52333333
CW Tau,63.56666667,28.18250000
DF Tau,66.75833333,25.70611111
DG Tau,66.76666667,26.10444444
DN Tau,68.86250000,24.24944444
DS Tau,71.95000000,29.42000000
FX Tau,67.62083333,24.44555556
GK Tau,68.39166667,24.35138889
GU Tau,66.66250000,26.17000000
V0586 Tau,67.47916667,24.75916667
V0587 Tau,67.56666667,24.65805556
WW Vul,291.49166667,21.20861111
CT Vul,296.88333333,20.90472222
IZ Vul,296.81666667,27.33194444
WASP-76,26.62916667,2.70055556
HAT-P-12,209.38750000,43.49333333
HAT-P-32,31.04166667,46.68777778
HAT-P-18,256.34583333,33.01250000
HAT-P-3,206.09166667,48.02861111
HAT-P-38,35.37916667,32.24611111
HD 149026,247.62083333,38.34722222
HAT-P-26,213.15416667,4.06000000
WASP-80,303.16666667,-1.85583333
WASP-69,315.02500000,-4.90583333
WASP-52,348.49166667,8.76111111
WASP-39,217.32500000,-2.55555556
WASP-67,295.74166667,-18.05055556
HS 0624+6907,97.50833333,69.08416667
3C 273,187.27500000,2.05222222
PG 1351+640,208.31250000,63.76250000
SW And,5.92916667,29.40083333
AC And,349.50833333,48.78277778
XX And,19.36250000,38.95055556
AT And,355.62500000,43.01416667
FF Aql,284.55833333,17.36083333
TT Aql,287.05416667,1.29861111
U Aql,292.33750000,-6.95611111
eta Aql,298.11666667,1.00555556
SW Aqr,318.82083333,0.07611111
BH Aur,78.01666667,33.96305556
RS Boo,218.38750000,31.75444444
ST Boo,232.66250000,35.78444444
SW Boo,216.89166667,36.04555556
TV Boo,214.15000000,42.35972222
SZ Boo,220.55416667,28.20583333
TW Boo,221.27083333,41.02888889
UU Boo,229.27083333,35.11555556
UY Boo,209.69166667,12.95166667
TW Cap,303.61666667,-12.16472222
del Cep,337.29166667,58.41500000
RR Cet,23.03333333,1.34166667
XZ Cyg,293.12083333,56.38805556
DM Cyg,320.29583333,32.19111111
RW Dra,248.87916667,57.83972222
XZ Dra,287.42500000,64.85888889
AR Her,240.13333333,46.92361111
DL Her,260.09166667,14.51055556
TW Her,268.62916667,30.41027778
VX Her,247.66666667,18.36666667
DY Her,247.82083333,11.99777778
RZ Lyr,280.90416667,32.79805556
AV Peg,328.00833333,22.57472222
RV UMa,203.32500000,53.98722222
alf UMi,37.95416667,89.26388889
ASAS J182611+1212.6,276.54583333,12.20944444
AG LMi,161.20000000,33.35305556
ASAS J050610+2638.7,76.54166667,26.64583333
ASAS J193639+3933.2,294.15833333,39.55277778
bet Per,47.04166667,40.95555556
CD And,21.61666667,44.35666667
CSS_J160450.1+520159,241.20833333,52.03305556
Dauban V239,294.03333333,25.75277778
Dauban V241,295.99166667,26.34972222
Dauban V242,286.37916667,28.92333333
Dauban V243,305.82916667,21.84777778
Dauban V244,293.18750000,36.10361111
Dauban V245,318.02500000,37.46472222
Dauban V246,327.10416667,39.64472222
Dauban V247,32.45416667,43.14138889
DK Cam,66.76250000,71.78111111
EE Cep,332.34166667,55.75666667
EL And,21.61250000,44.93694444
EN Sge,300.76666667,16.20083333
FR Lac,342.23750000,54.20972222
GH Cam,55.37916667,67.07888889
HQ Cam,95.14583333,67.25638889
KIC 10001167,286.95416667,46.93638889
KIC 5640750,297.20000000,40.89222222
KIC 7037405,292.97500000,42.54750000
KIC 9970396,298.70833333,46.83277778
KID 03644542,291.16666667,38.76500000
KID 07377422,295.92916667,42.95111111
KID 08257407,299.02083333,44.17250000
KID 2307206,292.37500000,37.65722222
KID 3428468,286.72083333,38.59555556
KID 4659255,293.04583333,39.72527778
KID 8044608,296.90000000,43.82388889
KID 9028474,294.15833333,45.37583333
KL Cep,332.59166667,54.15250000
LL Aqr,338.67500000,-2.40055556
Mis V1351,301.91666667,36.28833333
MO Dra,305.98750000,63.04222222
NO Dra,227.93333333,63.62194444
NS Dra,145.72500000,78.94833333
NSV 14400,345.65416667,58.58583333
NSV 15581,42.34166667,60.54083333
NSV 15635,46.93750000,52.18388889
NSV 15666,49.82500000,45.95083333
NSV 1853,77.76666667,44.65666667
NSV 25882,335.35833333,21.04805556
NSVS 2844818,242.79166667,68.02750000
NT UMa,126.15833333,72.75722222
NU UMa,163.25416667,57.70194444
OV Aqr,351.53333333,-18.62694444
OY Aql,297.98750000,11.78555556
PQ Cam,57.67083333,67.57944444
UCAC3 323-013086,23.40833333,71.04361111
V0347 Cam,66.59583333,79.23083333
V0381 And,347.23750000,38.91500000
V0413 Ser,278.78333333,0.04277778
V0425 Dra,296.07500000,81.79222222
V0441 Dra,303.16250000,82.63916667
V0457 Lac,339.09166667,38.10500000
V0491 Vul,296.59166667,24.62972222
V0493 Sct,277.15000000,-11.00277778
V0498 Cam,132.99166667,74.03166667
V0512 Cam,154.17083333,84.53472222
V0516 Cam,180.17916667,77.08333333
V0539 Lyr,282.85833333,39.32055556
V0698 Cyg,299.97083333,36.27777778
V0732 Per,50.82916667,51.39138889
V0750 Cep,3.70833333,71.82916667
V0751 Per,22.72083333,53.42722222
V0788 Cyg,306.89166667,31.85694444
V0798 Cep,28.64166667,79.46916667
V0840 Her,248.20833333,6.91194444
V0850 Cep,322.46666667,64.92111111
V0880 Cep,336.24583333,70.31500000
V0888 Per,47.40416667,50.89194444
V0898 Cep,339.50833333,67.46611111
V0919 Cep,344.91666667,65.21111111
V0921 Cep,345.30416667,62.56805556
V0922 Cep,345.41250000,69.71250000
V0957 Cep,356.54166667,71.49861111
V0958 Per,67.86666667,32.87000000
V1112 Cas,23.04166667,66.58277778
V1141 Cas,24.57500000,61.14305556
V1160 Cas,29.16250000,72.32972222
V1162 Cas,32.12916667,68.10416667
V1177 Cas,51.20833333,70.55611111
V1287 Tau,58.27916667,25.53527778
V1344 Her,276.82500000,19.14250000
V1356 Tau,76.18333333,22.28555556
V1719 Aql,297.68333333,1.76388889
V1725 Aql,282.29583333,0.39944444
V1811 Aql,295.17500000,1.68500000
V2541 Cyg,306.04583333,48.92388889
V2544 Cyg,306.82083333,37.94055556
V2618 Cyg,319.76666667,43.76333333
V2636 Oph,259.54166667,-16.73722222
V2638 Oph,259.68333333,-17.06250000
V2642 Oph,263.98750000,11.84472222
V2647 Cyg,326.76250000,50.05472222
RU And,24.65000000,38.67027778
ST And,354.68750000,35.77250000
R Aql,286.59166667,8.23000000
RR Aql,299.40000000,-0.11361111
R Aqr,355.95416667,-14.71555556
RS Aqr,317.74166667,-3.97222222
S Aur,81.77916667,34.14972222
Z Aur,90.43750000,53.30527778
V Boo,217.43750000,38.86111111
T CVn,187.55000000,31.50305556
V CVn,199.86250000,45.52694444
R Cap,302.82500000,-13.73250000
S Cas,19.92083333,72.61111111
Z Cas,356.12916667,56.58111111
SV Cas,354.75416667,52.26222222
S Cep,323.80000000,78.62444444
V CrB,237.37916667,39.57138889
RS Cyg,303.34583333,38.72888889
RZ Cyg,312.97083333,47.35555556
LX Cyg,328.98750000,48.34777778
Y Del,310.40833333,11.87722222
T Dra,269.09583333,58.21833333
W Dra,271.39166667,65.95583333
RS Lac,333.21666667,43.75000000
U LMi,148.65833333,36.08972222
S Lyr,288.29583333,26.00777778
U Lyr,290.03750000,37.87666667
RU Lyr,288.08750000,41.30361111
RV Peg,336.40000000,30.47250000
W Tau,66.98750000,16.04333333
RX UMa,138.60416667,67.26055556
T UMi,203.67083333,73.43111111
RU Vir,191.82500000,4.14472222
SS Vir,186.30833333,0.76944444
RU Vul,309.71666667,23.25861111
R And,6.00416667,38.57694444
W And,34.38333333,44.30472222
S Aql,302.90416667,15.62055556
V Aql,286.10000000,-4.31527778
R Ari,34.02916667,25.05638889
T Ari,42.07916667,17.50916667
X Aur,93.05416667,50.22777778
R Aur,79.32083333,53.58611111
S Boo,215.71666667,53.81027778
R Boo,219.29583333,26.73638889
RX Boo,216.04583333,25.70361111
X Cam,71.42500000,75.10083333
R Cam,214.46250000,83.83138889
T Cam,70.03333333,66.14666667
U Cam,55.45000000,62.64833333
W Cas,13.72083333,58.56361111
WZ Cas,0.31250000,60.35527778
R Cas,359.60000000,51.38861111
T Cas,5.80833333,55.79250000
V Cas,347.91666667,59.69944444
miu Cep,325.87500000,58.78000000
AR Cep,342.88750000,85.04638889
SS Cep,57.37500000,80.32222222
T Cep,317.37916667,68.49083333
omi Cet,34.83333333,-1.02250000
S CrB,230.34583333,31.36722222
R CVn,207.23750000,39.54250000
Y CVn,191.27916667,45.44000000
RU Cyg,325.16250000,54.32444444
TU Cyg,296.54166667,49.07333333
TZ Cyg,289.01666667,50.16000000
Z Cyg,300.36250000,50.04222222
AF Cyg,292.55000000,46.14777778
khi Cyg,297.63750000,32.91388889
R Cyg,294.20416667,50.19972222
RT Cyg,295.90416667,48.77805556
U Cyg,304.90000000,47.89416667
V Cyg,310.32500000,48.14111111
W Cyg,324.00833333,45.37444444
WX Cyg,304.63750000,37.44972222
S Del,310.76666667,17.08805556
EU Del,309.47500000,18.26833333
U Del,311.36666667,18.09000000
R Dra,248.16666667,66.75472222
RY Dra,194.10416667,65.99416667
TX Dra,248.75000000,60.46805556
SX Her,241.86250000,24.90805556
W Her,248.80000000,37.34527778
alf Her,258.65833333,14.39027778
g Her,247.15833333,41.88166667
RS Her,260.42500000,22.92083333
RU Her,242.55833333,25.07055556
S Her,252.97083333,14.94166667
T Her,272.27500000,31.02111111
U Her,246.44583333,18.89222222
X Her,240.66250000,47.24027778
W Lyr,273.72916667,36.67027778
R Lyr,283.83333333,43.94583333
X Oph,279.58750000,8.83388889
R Peg,346.66250000,10.54333333
W Peg,349.95833333,26.27861111
rho Per,46.29166667,38.84027778
U Per,29.89583333,54.82194444
W Per,42.65416667,56.98333333
Y Per,51.92500000,44.17666667
S Per,35.71250000,58.58638889
R Ser,237.67083333,15.13361111
R Tri,39.25833333,34.26416667
RS UMa,189.73750000,58.48333333
S UMa,190.98333333,61.09305556
R UMa,161.15833333,68.77555556
RY UMa,185.11250000,61.30944444
ST UMa,171.95833333,45.18500000
T UMa,189.09583333,59.48666667
VW UMa,164.75416667,69.98888889
VY UMa,161.26666667,67.41138889
Z UMa,179.12500000,57.87138889
S UMi,232.39166667,78.63333333
U UMi,214.32916667,66.79416667
R Vir,189.62083333,6.98833333
S Vir,203.25000000,-6.80555556
R Vul,316.09166667,23.82166667
T Cet,5.44166667,-19.94222222
Y Cyg,313.01250000,34.65750000
V2487 Oph,262.99583333,-18.76805556
V1687 Cyg,305.11250000,43.85444444
KIC 08462852,301.56250000,44.45666667
RR Lyr,291.36250000,42.78416667
V2492 Cyg,312.85833333,44.08972222
eps Aur,75.49166667,43.82305556
P Cyg,304.44583333,38.03277778
AG Peg,327.75416667,12.62555556
AG Dra,240.42083333,66.80277778
R Aqr,355.95416667,-14.71555556
CH Cyg,291.13750000,50.24138889
AG Dra,240.42083333,66.80277778
AG Dra,240.42083333,66.80277778
AG Dra,240.42083333,66.80277778
AG Dra,240.42083333,66.80277778
CH Cyg,291.13750000,50.24138889
CH Cyg,291.13750000,50.24138889
CH Cyg,291.13750000,50.24138889
AG Peg,327.75416667,12.62555556
AG Peg,327.75416667,12.62555556
AG Peg,327.75416667,12.62555556
AG Peg,327.75416667,12.62555556
KIC 08462852,301.56250000,44.45666667
KIC 08462852,301.56250000,44.45666667
KIC 08462852,301.56250000,44.45666667
R Aqr,355.95416667,-14.71555556
R Aqr,355.95416667,-14.71555556
R Aqr,355.95416667,-14.71555556
R Aqr,355.95416667,-14.71555556
RW Aur,76.95416667,30.40138889
RW Aur,76.95416667,30.40138889
RW Aur,76.95416667,30.40138889
RW Aur,76.95416667,30.40138889
V1687 Cyg,305.11250000,43.85444444
V1687 Cyg,305.11250000,43.85444444
V1687 Cyg,305.11250000,43.85444444
V1687 Cyg,305.11250000,43.85444444
V2487 Oph,262.99583333,-18.76805556
V2492 Cyg,312.85833333,44.08972222
V2492 Cyg,312.85833333,44.08972222
V2492 Cyg,312.85833333,44.08972222
V2492 Cyg,312.85833333,44.08972222
eps Aur,75.49166667,43.82305556
eps Aur,75.49166667,43.82305556
eps Aur,75.49166667,43.82305556
eps Aur,75.49166667,43.82305556
RW Aur,76.95416667,30.40138889
V2500 Oph,269.45000000,4.69333333
CH Cyg,291.13750000,50.24138889
DDE 48,311.54583333,24.34916667
V1117 Her,249.77500000,9.79861111
V1117 Her,249.77500000,9.79861111
V1117 Her,249.77500000,9.79861111
V1117 Her,249.77500000,9.79861111
V404 Cyg,306.01250000,33.86722222
VV Cep,329.16250000,63.62555556
VV Cep,329.16250000,63.62555556
VV Cep,329.16250000,63.62555556
FO Aqr,334.47916667,-7.64916667
FO Aqr,334.47916667,-7.64916667
CI Aql,283.01250000,-0.52250000
CI Aql,283.01250000,-0.52250000
CI Aql,283.01250000,-0.52250000
R Aqr,355.95416667,-14.71555556
R Aqr,355.95416667,-14.71555556
R Aqr,355.95416667,-14.71555556
ST Tri,40.38333333,35.72527778
MASTER OT J132104.04+560957.8,200.26666667,56.16583333
TT Ari,31.72083333,15.29472222
TT Ari,31.72083333,15.29472222
TT Ari,31.72083333,15.29472222
AK Cep,337.20833333,58.21083333
BW Cyg,308.59583333,58.76472222
b Per,64.55833333,50.29527778
ASASSN-18ca,10.64166667,40.74055556
ASASSN-18ca,10.64166667,40.74055556
ASASSN-18ca,10.64166667,40.74055556
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
SU UMa,123.11666667,62.60611111
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
CR Boo,207.22916667,7.95972222
SDSS J153817.35+512338.0,234.57083333,51.39388889
ASASSN-18ey,275.08750000,7.18527778
ASASSN-18ey,275.08750000,7.18527778
ASASSN-18ey,275.08750000,7.18527778
ASASSN-18ey,275.08750000,7.18527778
MAXI J1820+070,275.08750000,7.18527778
MAXI J1820+070,275.08750000,7.18527778
MAXI J1820+070,275.08750000,7.18527778
MAXI J1820+070,275.08750000,7.18527778
N Sgr 2018,271.03750000,-17.93472222
N Sgr 2018,271.03750000,-17.93472222
N Sgr 2018,271.03750000,-17.93472222
N Sgr 2018,271.03750000,-17.93472222
N Sgr 2018,271.03750000,-17.93472222
NSVS J1444107-074451,221.04166667,-6.25305556
NSVS J1444107-074451,221.04166667,-6.25305556
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
YZ Cet,18.12500000,-15.00111111
GJ 54.1,18.12500000,-15.00111111
TY Cas,9.24583333,63.13361111
TY Cas,9.24583333,63.13361111
FI Per,58.73333333,48.60027778
FI Per,58.73333333,48.60027778
CI Cyg,297.54583333,35.68416667
CT Lac,331.66250000,48.45166667
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
EN Sgr,290.67500000,-12.00111111
EN Sgr,290.67500000,-12.00111111
GAIA DR2 4150099732733146112,269.92916667,-12.02444444
GAIA DR2 4150099732733146112,269.92916667,-12.02444444
GAIA DR2 4150446010182968192,269.01666667,-12.83250000
GAIA DR2 4150446010182968192,269.01666667,-12.83250000
FASTT 1100,268.43750000,-0.87055556
FASTT 1100,268.43750000,-0.87055556
GAIA DR2 4168021909706732672,261.35833333,-6.19250000
GAIA DR2 4168021909706732672,261.35833333,-6.19250000
V2525 Oph,258.77083333,-8.60277778
V2525 Oph,258.77083333,-8.60277778
SS 295,256.90833333,-6.25333333
SS 295,256.90833333,-6.25333333
GAIA DR2 4334886650491663104,256.53333333,-9.02444444
GAIA DR2 4334886650491663104,256.53333333,-9.02444444
GAIA DR2 4131587500273361280,249.99583333,-17.25611111
GAIA DR2 4131587500273361280,249.99583333,-17.25611111
LQ Peg,324.07916667,11.68166667
LQ Peg,324.07916667,11.68166667
UU Aqr,332.27083333,-2.22861111
UU Aqr,332.27083333,-2.22861111
V378 Peg,355.01666667,30.29638889
V378 Peg,355.01666667,30.29638889
M31_V1,10.36250000,41.16944444
MRK 421,166.11250000,38.20861111
BL Lac,330.67916667,42.27750000
XZ Tau,67.91666667,18.23250000
XZ Tau,67.91666667,18.23250000
XZ Tau,67.91666667,18.23250000
HL Tau,67.90833333,18.23277778
HL Tau,67.90833333,18.23277778
HL Tau,67.90833333,18.23277778
V349 Vul,292.79166667,23.50916667
V349 Vul,292.79166667,23.50916667
RT Aql,294.50416667,11.72166667
RT Aql,294.50416667,11.72166667
V353 Vul,297.34166667,22.62750000
V353 Vul,297.34166667,22.62750000
V1301 Cyg,300.55000000,37.63472222
V1301 Cyg,300.55000000,37.63472222
SX Cyg,303.88750000,31.07222222
SX Cyg,303.88750000,31.07222222
AU Cyg,304.63333333,34.38916667
AU Cyg,304.63333333,34.38916667
V1655 Cyg,306.35000000,38.70972222
V1655 Cyg,306.35000000,38.70972222
V1659 Cyg,307.27083333,39.71250000
V1659 Cyg,307.27083333,39.71250000
NSVS J2041274+511326,310.36250000,51.22500000
NSVS J2041274+511326,310.36250000,51.22500000
DR Cyg,310.92083333,38.16527778
DR Cyg,310.92083333,38.16527778
V750 Cyg,312.33750000,50.53083333
V750 Cyg,312.33750000,50.53083333
W Cep,339.11250000,58.42583333
W Cep,339.11250000,58.42583333
AL Cep,342.31666667,58.58527778
AL Cep,342.31666667,58.58527778
VX Cep,342.70416667,64.25138889
VX Cep,342.70416667,64.25138889
FY Aql,292.00000000,3.69944444
V657 Cas,358.01666667,61.80333333
V657 Cas,358.01666667,61.80333333
V850 Cas,354.41250000,58.84611111
V850 Cas,354.41250000,58.84611111
V818 Sco,244.97916667,-14.35972222
2MASS J16194990-1537248,244.95416667,-14.37666667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
R Aqr,355.95416667,-14.71555556
T Peg,332.22500000,12.54000000
CRTS J105122.8+672528,162.84166667,67.42444444
CRTS J105122.8+672528,162.84166667,67.42444444
V386 Ser,242.63750000,-0.96027778
V386 Ser,242.63750000,-0.96027778
KIC 2856960,292.37916667,38.07638889
KIC 2856960,292.37916667,38.07638889
KIC 2856960,292.37916667,38.07638889
